"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00016438",203.993907404896,222.844340972195,197.3025212482,264.571875396203,347.288358491699,244.804322018973
"WBGene00006887",511.008149318618,403.472828530403,402.301240133741,723.802850824846,498.526837189698,406.201861757145
"WBGene00167728",12.9628235474683,7.61269487793214,12.5937779520128,30.1584521177019,54.147109657308,7.58243475280004
"WBGene00197070",0,0,0,0,0,2.16640992937144
"WBGene00000748",1481.17315376598,512.126746333616,314.144794469652,24928.7023527459,10498.9378483808,18535.803355702
"WBGene00017580",30.7014241913722,51.2126746333617,51.7744204693858,12.3375485936053,28.0071256848145,25.9969191524573
"WBGene00198072",0,0,0,0,0,2.16640992937144
"WBGene00022996",3.41126935459692,0,0.699654330667376,169.984002845229,50.412826232666,51.9938383049146
"WBGene00022997",0,0,0,31.5292908503247,1.86714171232096,3.24961489405716
"WBGene00171234",0,0,0,1.37083873262281,0,0
"WBGene00001674",184.208545148233,258.831625849693,181.910125973518,124.746324668676,259.532698012614,274.050856065487
"WBGene00003981",347.949474168885,211.079267069937,162.319804714831,3424.35515409179,1717.77037533529,2386.30053720264
"WBGene00197479",0,0,0,0,0,5.4160248234286
"WBGene00017581",0,0.692063170721103,2.09896299200213,0,7.46856684928386,10.8320496468572
"WBGene00017579",0,0,0,6.85419366311407,0,5.4160248234286
"WBGene00017582",310.425511268319,375.098238530838,294.554473210965,226.188390882764,334.218366505453,320.628669546973
"WBGene00015181",1084.78365476182,1215.26292778626,1189.41236213454,1461.31408897592,842.080912256755,1050.70881574515
"WBGene00206482",6.82253870919383,7.61269487793214,18.8906669280191,0,0,2.16640992937144
"WBGene00015180",23.8788854821784,14.5333265851432,62.2692354293965,5.48335493049126,9.33570856160482,4.33281985874288
"WBGene00206483",6.82253870919383,10.3809475608165,21.6892842506887,0,0,0
"WBGene00015179",70.9544025756158,86.5078963401379,95.8526433014305,5.48335493049126,56.0142513696289,53.0770432696003
"WBGene00001638",551.261127702861,375.790301701559,401.601585803074,257.717681733089,364.092633902588,253.469961736458
"WBGene00015182",75.0479258011321,126.647560241962,103.548840938772,0,31.7414091094564,2.16640992937144
"WBGene00015178",0,6.92063170721103,0,0,0,2.16640992937144
"WBGene00198460",0,0,0,4.11251619786844,1.86714171232096,0
"WBGene00015177",259.256470949366,134.952318290615,213.39457085355,463.343491626511,371.561200751872,383.454557498745
"WBGene00045261",69.5898948337771,157.09833975369,92.3543716480936,2.74167746524563,26.1399839724935,24.9137141877716
"WBGene00044788",63.4496099955026,43.5999797554295,18.1910125973518,27.4167746524563,67.2171016435547,95.3220368923433
"WBGene00018067",9.55155419287136,26.2984004874019,17.4913582666844,5.48335493049126,11.2028502739258,17.3312794349715
"WBGene00196763",0,0,0,2.74167746524563,0,3.24961489405716
"WBGene00020595",42.9819938679211,31.1428426824497,39.8802968480404,13.7083873262281,26.1399839724935,7.58243475280004
"WBGene00000161",544.438588993668,504.514051455684,628.289588939303,1501.06841222198,726.318126092855,788.573214291204
"WBGene00020596",543.756335122748,496.209293407031,525.440402331199,2289.3006834801,2003.4430573204,3441.34217280653
"WBGene00001463",21.1498699985009,35.9872848774974,39.8802968480404,23.3042584545879,56.0142513696289,53.0770432696003
"WBGene00004033",1878.24490664106,1818.74201265506,1873.67429752723,1113.12105088973,1715.90323362297,1581.47924844115
"WBGene00202417",0,0,0,0,0,5.4160248234286
"WBGene00022973",0,0,2.09896299200213,6.85419366311407,22.4057005478516,1.08320496468572
"WBGene00197169",0,0,0.699654330667376,0,0,0
"WBGene00016009",64.131863866422,95.5047175595123,56.6720007840574,109.667098609825,126.965636437826,96.4052418570291
"WBGene00016008",2.04676161275815,0,0,0,0,1.08320496468572
"WBGene00016006",6374.2979159998,4845.13425821844,6149.26191223557,6944.66901946718,6689.96875524602,5952.21128094803
"WBGene00198069",0,0,0,0,5.60142513696289,12.9984595762286
"WBGene00195567",3.41126935459692,2.76825268288441,0,0,16.8042754108887,0
"WBGene00195951",3.41126935459692,0,5.59723464533901,0,0,0
"WBGene00007130",152.142613215022,199.314193167678,134.333631488136,271.426069059317,169.909895821208,160.314334773487
"WBGene00007129",895.79933251715,734.971087305812,685.661244054028,1428.41395939297,845.815195681397,1150.36367249623
"WBGene00006538",40.2529783842436,42.9079165847084,20.2899755893539,43.8668394439301,29.8742673971354,11.9152546115429
"WBGene00007128",60.7205945118251,87.199959510859,76.262322042744,105.554582411957,110.161361026937,157.064719879429
"WBGene00014140",180.797275793637,100.34915975456,111.245038576113,167.242325379983,141.902770136393,138.650235479772
"WBGene00014145",0,0.692063170721103,2.09896299200213,10.9667098609825,7.46856684928386,5.4160248234286
"WBGene00014141",712.955295110755,730.126645110764,603.801687365945,1180.29214878824,890.6265967771,1111.36829376755
"WBGene00014142",0.682253870919383,1.38412634144221,0.699654330667376,16.4500647914738,11.2028502739258,3.24961489405716
"WBGene00006534",0,0,0,1.37083873262281,0,0
"WBGene00014143",0,0,0,8.22503239573689,0,0
"WBGene00014144",0,0,0,2.74167746524563,0,0
"WBGene00197755",0,0,0,0,1.86714171232096,3.24961489405716
"WBGene00014634",0,0.692063170721103,0,39.7543232460616,50.412826232666,56.3266581636574
"WBGene00196716",0,0,0,9.5958711283597,0,1.08320496468572
"WBGene00201970",0,0,0,0,13.0699919862468,0
"WBGene00001516",583.327059636072,485.828345846215,563.921390517905,1551.78944532903,634.828182189128,849.232692313604
"WBGene00198960",0,0,0,2.74167746524563,0,0
"WBGene00198755",0,0,0,6.85419366311407,0,0
"WBGene00007407",2.72901548367753,0,0,0,0,0
"WBGene00007410",2.72901548367753,11.0730107315377,4.89758031467163,24.6750971872107,0,10.8320496468572
"WBGene00007408",6.14028483827445,6.22856853648993,5.59723464533901,16.4500647914738,14.9371336985677,16.2480744702858
"WBGene00007409",154.8716286987,94.8126543887912,109.845729914778,128.858840866545,164.308470684245,151.648695056001
"WBGene00195209",42.2997399970018,12.4571370729799,13.2934322826801,8.22503239573689,28.0071256848145,19.497689364343
"WBGene00003828",1256.7116302335,1519.07865973282,1308.35359834799,1034.98324313023,1073.60648458455,1194.77507604835
"WBGene00009888",3603.66494619618,2483.81471971804,3533.25436987025,4082.35774575074,2416.08137574333,2475.12334430687
