,WB_ID,common_name,transcript,baseMean,log2FoldChange,padj
30452,WBGene00219698,linc-92,F44E7.16,3.58173963785,0.669387432329,0.796977161995809
30453,WBGene00219699,linc-22,F47E1.18,144.23082774,0.378955751782,0.5938045875622
30454,WBGene00219700,linc-6,F52D2.13,1788.14652078,5.16089974575,3.5785273055801895e-48
30456,WBGene00219702,linc-138,F54H5.13,19.5850707406,2.40362547549,0.0030772537877735303
30458,WBGene00219704,linc-127,F56D1.16,1.21386108929,4.2662794796,
30460,WBGene00219707,linc-8,F59H5.6,78.2225834433,-0.703260107437,0.16458672182732298
30461,WBGene00219709,linc-37,K02F3.14,29.5437293723,0.217630646848,0.8411634058353751
30464,WBGene00219712,linc-167,K09H9.10,5.01782646045,6.2947970585,0.009215168520032159
30465,WBGene00219713,linc-27,K10B2.6,6.33205274918,0.917082937376,0.5994712108976129
30466,WBGene00219714,linc-3,K12D9.16,0.180534160781,1.98478090816,
30468,WBGene00219716,linc-88,M02D8.11,12.3575141834,7.61178535661,9.68738201118163e-06
30470,WBGene00219718,linc-42,R10F2.8,1.93317234743,3.89432175703,0.25461415600793696
30471,WBGene00219719,linc-57,R13A5.17,1.23001565678,-2.05949111711,
30472,WBGene00219720,linc-2,R144.17,27.8049458824,0.0276027813635,0.9784624627428921
30473,WBGene00219722,linc-154,T01B6.11,8.03254044591,1.27311174904,0.450934544740508
30474,WBGene00219723,linc-135,T01B11.10,2.17634694884,2.39808621918,0.5174617557665561
30475,WBGene00219724,linc-100,T01C8.12,2.5035617195,-3.12286602748,0.3498851691449861
30476,WBGene00219725,linc-63,T03F1.13,10.0305372763,-0.422189220117,0.7757208697808149
30477,WBGene00219726,linc-116,T04A6.8,4.85042634645,-1.07593231855,0.624888544238516
30478,WBGene00219727,linc-39,T04D1.7,6.05282944546,4.04582045911,0.0358617957337917
30479,WBGene00219728,linc-16,T08E11.10,9.13847968325,0.168029162092,0.9200527393254119
30481,WBGene00219731,linc-49,T16D1.3,3.09087696807,-1.19575754115,0.6889674656907541
30482,WBGene00219732,linc-112,T19D2.12,0.865688108325,-1.445783275,
30483,WBGene00219733,linc-53,T21G5.11,4.46111341734,-2.53178629924,0.269938536098716
30484,WBGene00219734,linc-128,T21H3.11,16.7893292607,-0.413016535484,0.731502323943467
30485,WBGene00219735,linc-150,T24D8.18,1.30973901194,4.37181795066,
30486,WBGene00219736,linc-20,T25D1.6,12.0306371596,-1.48207925214,0.16507257607102402
30487,WBGene00219737,linc-155,T25G12.14,0.180534160781,1.98478090816,
30489,WBGene00219739,linc-136,T27C4.6,2.72563283686,-3.33795846925,0.305495419683268
30490,WBGene00219740,linc-117,VC5.18,0.409007282885,2.74783572878,
30491,WBGene00219741,linc-77,W03D2.12,0.722136643124,3.53718669709,
30492,WBGene00219743,linc-103,W05H9.5,13.189209273,2.73190031833,0.012488974958406
30494,WBGene00219745,linc-90,W07B3.3,10.0331671456,1.82286741767,0.26889026696767004
30495,WBGene00219746,linc-91,W09C3.9,13.5183546315,0.833770899497,0.423166248080386
30496,WBGene00219747,linc-79,Y9C9A.110,0.455891079077,0.143577962693,
30497,WBGene00219748,linc-46,Y16E11A.3,14.4950606686,0.340623317815,0.79450142938134
30498,WBGene00219749,linc-30,Y20F4.10,1.25150830253,0.216021479139,
30501,WBGene00219753,linc-152,Y46E12BL.10,4.69541449055,6.20376683279,0.00526149068473111
30502,WBGene00219754,linc-85,Y47D9A.6,2.15795521469,0.387569975525,0.9295610794713721
30503,WBGene00219755,linc-17,Y49F6A.9,12.1700794215,2.30677622291,0.11513473145603699
30504,WBGene00219756,linc-68,Y49F6A.10,0.346031585361,-1.4211118014,
