,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
185,WBGene00006246,str-213,C02E7.11,Live,pseudogene,2.595921506,5.351928057,0.131542013,0,0,0,13.70838733,1.867141712,0,no_change,
663,WBGene00014976,,Y116A8C.7,Live,pseudogene,2.582760747,5.343073722,0.063653907,0,0,0,9.595871128,3.734283425,2.166409929,no_change,
1009,WBGene00023303,,F58E2.8,Live,pseudogene,2.589278355,5.334738696,0.118115041,0,0,0,0,11.20285027,4.332819859,no_change,
1321,WBGene00077586,,T09F5.17,Live,pseudogene,2.589278355,5.334738696,0.118115041,0,0,0,0,11.20285027,4.332819859,no_change,
673,WBGene00014993,,ZK1037.2,Live,pseudogene,2.569599988,5.333844731,0.055574603,0,0,0,5.48335493,5.601425137,4.332819859,no_change,
121,WBGene00005746,srv-35,F13A7.4,Live,pseudogene,2.513204343,5.307557624,0.207046813,0,0,0,15.07922606,0,0,no_change,
1020,WBGene00023319,,K07E8.2,Live,pseudogene,2.519721952,5.295640255,0.064983419,0,0,0,5.48335493,7.468566849,2.166409929,no_change,
699,WBGene00015862,srt-25,C16D9.7,Live,pseudogene,2.465265382,5.282127219,0.14219227,0,0,0,13.70838733,0,1.083204965,no_change,
102,WBGene00005580,sri-68,B0462.2,Live,pseudogene,2.48494375,5.279790143,0.076498838,0,0,0,8.225032396,5.601425137,1.083204965,no_change,
1185,WBGene00045011,,T27E7.11,Live,pseudogene,2.450165548,5.26450269,0.135936464,0,0,0,10.96670986,3.734283425,0,no_change,
1319,WBGene00077581,,H12D21.16,Live,pseudogene,2.450165548,5.26450269,0.135936464,0,0,0,10.96670986,3.734283425,0,no_change,
1149,WBGene00044670,rac-3,K03D3.13,Live,pseudogene,35.39559741,5.236173675,5.88E-08,2.729015484,2.768252683,0,97.32955002,26.13998397,83.40678228,no_change,
1031,WBGene00023339,,T03D3.13,Live,pseudogene,2.369387459,5.228318074,0.135936464,0,0,0,10.96670986,0,3.249614894,no_change,
716,WBGene00016338,srb-14,C33C12.6,Live,pseudogene,2.389065827,5.225815723,0.070252176,0,0,0,5.48335493,5.601425137,3.249614894,no_change,
301,WBGene00009828,,F47G4.8,Live,pseudogene,8.737823885,5.20993674,0.002884875,0,1.384126341,0,24.67509719,11.20285027,15.16486951,no_change,
344,WBGene00011210,,R10E8.4,Live,pseudogene,2.354287625,5.20871635,0.079502117,0,0,0,8.225032396,3.734283425,2.166409929,no_change,
1128,WBGene00044309,,F58F9.11,Live,pseudogene,2.327966106,5.190423728,0.14026214,0,0,0,0,7.468566849,6.499229788,no_change,
992,WBGene00023271,,F19G12.t1,Live,pseudogene,617.555317,5.174587638,7.49E-38,16.3740929,43.59997976,39.88029685,1509.293445,1249.117806,847.0662824,up,
416,WBGene00012746,,Y40H7A.9,Live,pseudogene,2.284731221,5.17013179,0.235793026,0,0,0,13.70838733,0,0,no_change,
633,WBGene00014927,,Y59A8A.6,Live,pseudogene,2.284731221,5.17013179,0.235793026,0,0,0,13.70838733,0,0,no_change,
990,WBGene00023268,,F15A8.3,Live,pseudogene,2.284731221,5.17013179,0.235793026,0,0,0,13.70838733,0,0,no_change,
570,WBGene00014806,,M01G12.8,Live,pseudogene,4.590068032,5.161688212,0.028662845,0,0,0.699654331,1.370838733,16.80427541,8.665639717,no_change,
1332,WBGene00077613,,F21H7.16,Live,pseudogene,2.27808807,5.151514569,0.148699719,0,0,0,0,9.335708562,4.332819859,no_change,
41,WBGene00005100,srd-22,F26G5.3,Live,pseudogene,2.188853298,5.112753861,0.160867801,0,0,0,10.96670986,0,2.166409929,no_change,
906,WBGene00021668,,Y48G1BM.2,Live,pseudogene,2.228210034,5.112077695,0.162389992,0,0,0,0,11.20285027,2.166409929,no_change,
89,WBGene00005506,srh-302,Y59A8A.5,Live,pseudogene,2.208531666,5.109156873,0.0898018,0,0,0,5.48335493,5.601425137,2.166409929,no_change,
1204,WBGene00045076,,W04G5.13,Live,pseudogene,12.16865651,5.094580319,0.000342229,1.364507742,0.692063171,0,32.90012958,26.13998397,11.91525461,no_change,
910,WBGene00021737,,Y50D4A.3,Live,pseudogene,2.140914337,5.082735466,0.161200005,0,0,0,9.595871128,0,3.249614894,no_change,
